,Unnamed: 0,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1919,1973,768405750410510336,1472037181000,2016-08-24,16:43:01,India Standard Time,3112315426,lci_ears,Let's Check-In,,Are you a #college #student?  Feeling overwhelmed or #lonely? We Are here to listen to you.  http://buff.ly/2bnzQBK  pic.twitter.com/5dr1QzmJ5l,[],['http://buff.ly/2bnzQBK'],['https://pbs.twimg.com/media/Cqns9E8WIAAbb--.jpg'],0,0,0,"['#college', '#student', '#lonely']",[],https://twitter.com/lci_ears/status/768405750410510336,False,,0,,,,,,,"[{'user_id': '3112315426', 'username': 'lci_ears'}]",
1920,1974,768979531772329984,1472173981000,2016-08-26,06:43:01,India Standard Time,3112315426,lci_ears,Let's Check-In,,Are you a #college #student?  Feeling overwhelmed or #lonely? We Are here to listen to you.  http://buff.ly/2bCGkgZ  pic.twitter.com/JTpaVxF3RV,[],['http://buff.ly/2bCGkgZ'],['https://pbs.twimg.com/media/Cqv2zsRW8AAKRjM.jpg'],0,0,0,"['#college', '#student', '#lonely']",[],https://twitter.com/lci_ears/status/768979531772329984,False,,0,,,,,,,"[{'user_id': '3112315426', 'username': 'lci_ears'}]",
1921,1975,769248134237130752,1472238021000,2016-08-27,00:30:21,India Standard Time,3112315426,lci_ears,Let's Check-In,,Are you a college #student?  Feeling overwhelmed or #lonely? We Are here to listen to you.  http://buff.ly/2b3SCDq  pic.twitter.com/wyA3FTd3zW,[],['http://buff.ly/2b3SCDq'],['https://pbs.twimg.com/media/CqzrGYYXEAALU_s.jpg'],0,0,0,"['#student', '#lonely']",[],https://twitter.com/lci_ears/status/769248134237130752,False,,0,,,,,,,"[{'user_id': '3112315426', 'username': 'lci_ears'}]",
1922,1976,769513056946839552,1472301184000,2016-08-27,18:03:04,India Standard Time,1134764480,tes_institute,Tes_Institute,,How harnessing the positive side of #stress can change #student mindsets:  http://bit.ly/2bljpLy  #edchat pic.twitter.com/WdaAfqgL8O,[],['http://bit.ly/2bljpLy'],['https://pbs.twimg.com/media/Cq3cC8JWAAABfV5.jpg'],0,0,0,"['#stress', '#student', '#edchat']",[],https://twitter.com/Tes_Institute/status/769513056946839552,False,,0,,,,,,,"[{'user_id': '1134764480', 'username': 'Tes_Institute'}]",
1923,1977,769625570481172480,1472328009000,2016-08-28,01:30:09,India Standard Time,3112315426,lci_ears,Let's Check-In,,Are you a college #student?  Feeling overwhelmed or #lonely? We Are here to listen to you.  http://buff.ly/2bP9Cxf  pic.twitter.com/zmTEXFtBVO,[],['http://buff.ly/2bP9Cxf'],['https://pbs.twimg.com/media/Cq5CYB3WIAA79eg.jpg'],0,0,0,"['#student', '#lonely']",[],https://twitter.com/lci_ears/status/769625570481172480,False,,0,,,,,,,"[{'user_id': '3112315426', 'username': 'lci_ears'}]",
1924,1978,769926520257282048,1472399761000,2016-08-28,21:26:01,India Standard Time,3112315426,lci_ears,Let's Check-In,,Are you a college #student?  Feeling overwhelmed or #lonely? We Are here to listen to you.  http://buff.ly/2b3SwM7  pic.twitter.com/QS2T2i1pWf,[],['http://buff.ly/2b3SwM7'],['https://pbs.twimg.com/media/Cq9UFqqWYAIuTcZ.jpg'],0,1,2,"['#student', '#lonely']",[],https://twitter.com/lci_ears/status/769926520257282048,False,,0,,,,,,,"[{'user_id': '3112315426', 'username': 'lci_ears'}]",
1925,1979,770028138910846976,1472423989000,2016-08-29,04:09:49,India Standard Time,1965784153,kathysteinkamp,Kathy Steinkamp,,"Apparently, several students were near death during our first APUSH quiz on Friday! #APUSH #agony #cantrememberanyofthisstuff",[],[],[],1,0,8,"['#apush', '#agony', '#cantrememberanyofthisstuff']",[],https://twitter.com/KathySteinkamp/status/770028138910846976,False,,0,,,,,,,"[{'user_id': '1965784153', 'username': 'KathySteinkamp'}]",
1926,1980,770425491094433792,1472518725000,2016-08-30,06:28:45,India Standard Time,577576678,ltkns,"Lynn Tougas, RKin",,#stress #student #health #awareness Take care yourself! https://twitter.com/CounsellorsCafe/status/768946668658130948 …,[],['https://twitter.com/CounsellorsCafe/status/768946668658130948'],[],0,0,2,"['#stress', '#student', '#health', '#awareness']",[],https://twitter.com/LTKnS/status/770425491094433792,False,https://twitter.com/CounsellorsCafe/status/768946668658130948,0,,,,,,,"[{'user_id': '577576678', 'username': 'LTKnS'}]",
1927,1981,770748315168305152,1472595692000,2016-08-31,03:51:32,India Standard Time,4831584833,inbetweenyrs,Sharon Powers,,#Student #stress is real. Eye opening account from a high schooler.  http://www.vox.com/2016/3/29/11301078/high-school-stress-college … via @voxdotcom,['voxdotcom'],['http://www.vox.com/2016/3/29/11301078/high-school-stress-college'],[],0,0,0,"['#student', '#stress']",[],https://twitter.com/InBetweenYrs/status/770748315168305152,False,,0,,,,,,,"[{'user_id': '4831584833', 'username': 'InBetweenYrs'}, {'user_id': '2347049341', 'username': 'voxdotcom'}]",
1928,1982,771017896080334848,1472659965000,2016-08-31,21:42:45,India Standard Time,472074216,littlegamermiss,Bethan kelly,,Only a bit of the stuff I need for uni #stress #winsorandnewton #photography #student #books…  https://www.instagram.com/p/BJx4NYODUYe/ ,[],['https://www.instagram.com/p/BJx4NYODUYe/'],[],0,0,1,"['#stress', '#winsorandnewton', '#photography', '#student', '#books']",[],https://twitter.com/LittlegamerMiss/status/771017896080334848,False,,0,,,,,,,"[{'user_id': '472074216', 'username': 'LittlegamerMiss'}]",
