,Unnamed: 0,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
3631,4209,1128737727502012416,1557947019000,2019-05-16,00:33:39,India Standard Time,1113849823407562752,visitmaninside,Man Inside,,1 op de 4 studenten heeft burn-out klachten. Dit komt door de hoge druk die studenten opzich leggen. Lees het artikel om studentenburn-outs tegen te gaan  https://man-inside.nl/tips-om-studentenburn-outs-tegen-te-gaan/ … #maninside #burnout #student #stress,[],['https://man-inside.nl/tips-om-studentenburn-outs-tegen-te-gaan/'],[],0,0,0,"['#maninside', '#burnout', '#student', '#stress']",[],https://twitter.com/Visitmaninside/status/1128737727502012416,False,,0,,,,,,,"[{'user_id': '1113849823407562752', 'username': 'Visitmaninside'}]",
3632,4210,1128934653954613248,1557993970000,2019-05-16,13:36:10,India Standard Time,209687519,call_247,CALL Helpline Wales,,If you are a #youngperson #student struggling with #stress #examstress.   We are #open247 to offer #support #advice #signposting across #Wales.  Call 0800 132 737 text help to 81066..(gw) pic.twitter.com/005AJFPPBu,[],[],['https://pbs.twimg.com/media/D6rIEZ1XYAAFUn_.jpg'],0,1,0,"['#youngperson', '#student', '#stress', '#examstress', '#open247', '#support', '#advice', '#signposting', '#wales']",[],https://twitter.com/CALL_247/status/1128934653954613248,False,,0,,,,,,,"[{'user_id': '209687519', 'username': 'CALL_247'}]",
3633,4211,1128935631206440960,1557994203000,2019-05-16,13:40:03,India Standard Time,1041785871870177281,anxiousextro,Anxious Extrovert,,"A beautiful quote by @dominic.barnham 👌👌 Share this with someone, who really needs to learn to love them self 🤗 #anxiousextrovert ▪️ #bodyimage #motivation #MHAW19 #mentalhealth #stress #friends #loveu #uni #student #unidays pic.twitter.com/7TdCTKLdjj",['dominic'],[],['https://pbs.twimg.com/media/D6rI-RoW0AEzDBw.jpg'],0,0,0,"['#anxiousextrovert', '#bodyimage', '#motivation', '#mhaw19', '#mentalhealth', '#stress', '#friends', '#loveu', '#uni', '#student', '#unidays']",[],https://twitter.com/AnxiousExtro/status/1128935631206440960,False,,0,,,,,,,"[{'user_id': '1041785871870177281', 'username': 'AnxiousExtro'}, {'user_id': '7801', 'username': 'dominic'}]",
3634,4212,1129019921969500160,1558014300000,2019-05-16,19:15:00,India Standard Time,3021392229,digihubnews,digitalhub,,"With the exam season well underway, the study of 2,000 adults for @beaglestreet found making GCSE and A level choices leave many emotionally drained. What helps you cope?   https://www.swnsdigital.com/2019/05/research-reveals-the-biggest-decisions-we-make-in-life/ … #Exams #Student #Stress #Awareness",['beaglestreet'],['https://www.swnsdigital.com/2019/05/research-reveals-the-biggest-decisions-we-make-in-life/'],[],0,0,0,"['#exams', '#student', '#stress', '#awareness']",[],https://twitter.com/DigiHubNews/status/1129019921969500160,False,,0,,,,,,,"[{'user_id': '3021392229', 'username': 'DigiHubNews'}, {'user_id': '717754742', 'username': 'beaglestreet'}]",
3635,4213,1129044277961678848,1558020107000,2019-05-16,20:51:47,India Standard Time,2840577617,dalcashlab,RosenLab,,Here is a picture of Clinical PhD student @RossiMeghan with her award winning  Best Poster (PhD) at @DalhousieU's Pain Research Day #pain #painresearch #sexualpain #sexresearch #couplesresearch #dalhousieu pic.twitter.com/TozCKZIzYa,"['rossimeghan', 'dalhousieu']",[],['https://pbs.twimg.com/media/D6sryU4W4AATj9V.jpg'],0,0,5,"['#pain', '#painresearch', '#sexualpain', '#sexresearch', '#couplesresearch', '#dalhousieu']",[],https://twitter.com/DalCaSHLab/status/1129044277961678848,False,,0,,,,,,,"[{'user_id': '2840577617', 'username': 'DalCaSHLab'}, {'user_id': '894978757638991874', 'username': 'RossiMeghan'}, {'user_id': '42391676', 'username': 'DalhousieU'}]",
3636,4214,1129298019038498816,1558080603000,2019-05-17,13:40:03,India Standard Time,1041785871870177281,anxiousextro,Anxious Extrovert,,Thank you @taylorswift 👌. Stand up for the things that make you special and and inspire others to do the same 🤗 #anxiousextrovert ▪️ #bodyimage #mentalhealth #MHAW19 #student #uni #unidays #studentproblems #gym #unique #stress #unistress #diet #special #perfect pic.twitter.com/ZZcLYZI6Nk,['taylorswift'],[],['https://pbs.twimg.com/media/D6wSkECWkAE35M7.jpg'],0,0,0,"['#anxiousextrovert', '#bodyimage', '#mentalhealth', '#mhaw19', '#student', '#uni', '#unidays', '#studentproblems', '#gym', '#unique', '#stress', '#unistress', '#diet', '#special', '#perfect']",[],https://twitter.com/AnxiousExtro/status/1129298019038498816,False,,0,,,,,,,"[{'user_id': '1041785871870177281', 'username': 'AnxiousExtro'}, {'user_id': '15273659', 'username': 'TaylorSwift'}]",
3637,4215,1129326249632051200,1558087334000,2019-05-17,15:32:14,India Standard Time,878999711159603205,teachertapp,Teacher Tapp,,"#MentalAwarenessWeek We asked ""Do you know of any #student at your #school having been medically signed off #language class due to #stress or #anxiety?""  Collectively 16% of you said yes! Find out more ➡️  http://bit.ly/2VGVix2  pic.twitter.com/NFnVC0XU60",[],['http://bit.ly/2VGVix2'],['https://pbs.twimg.com/media/D6wsPLoX4AAWHoY.png'],0,0,0,"['#mentalawarenessweek', '#student', '#school', '#language', '#stress', '#anxiety']",[],https://twitter.com/TeacherTapp/status/1129326249632051200,False,,0,,,,,,,"[{'user_id': '878999711159603205', 'username': 'TeacherTapp'}]",
3638,4216,1129375440567721985,1558099062000,2019-05-17,18:47:42,India Standard Time,2461163990,meddirectirl,MedDirect.ie,,"✅ #ArkoRelax Stress Control - perfect to help during times of stress, especially #exam season! ⏰⏳📖🖋 #Magesium #VitaminB6 #Ginseng #Rhodiola #Natural #Health #Stress #Student #College #Life #FeelBetter #Arkopharma #ArkopharmaUKIreland  http://tiny.cc/ix1u6y  pic.twitter.com/zFyZYy0tvf",[],['http://tiny.cc/ix1u6y'],['https://pbs.twimg.com/media/D6xY61_XYAIw_qH.jpg'],0,1,1,"['#arkorelax', '#exam', '#magesium', '#vitaminb6', '#ginseng', '#rhodiola', '#natural', '#health', '#stress', '#student', '#college', '#life', '#feelbetter', '#arkopharma', '#arkopharmaukireland']",[],https://twitter.com/meddirectIRL/status/1129375440567721985,False,,0,,,,,,,"[{'user_id': '2461163990', 'username': 'meddirectIRL'}]",
3639,4218,1129447024737366018,1558116129000,2019-05-17,23:32:09,India Standard Time,368720024,chezzldezzl2010,Chelsae ☠,,More #mermaid sketching.   #mermay #mermay2019 #sketching #artist #student #art #artistsoninstagram #drawing #fish #draw #graphite #mood #commute #arting #drawing #casual #float #therapy #calming #artistlife…  https://www.instagram.com/p/Bxkq5hVh972/?igshid=14zks550ycb63 …,[],['https://www.instagram.com/p/Bxkq5hVh972/?igshid=14zks550ycb63'],[],0,0,0,"['#mermaid', '#mermay', '#mermay2019', '#sketching', '#artist', '#student', '#art', '#artistsoninstagram', '#drawing', '#fish', '#draw', '#graphite', '#mood', '#commute', '#arting', '#drawing', '#casual', '#float', '#therapy', '#calming', '#artistlife']",[],https://twitter.com/chezzldezzl2010/status/1129447024737366018,False,,0,,,,,,,"[{'user_id': '368720024', 'username': 'chezzldezzl2010'}]",
3640,4219,1129467569788862464,1558121027000,2019-05-18,00:53:47,India Standard Time,1120820433962463232,carryonmed,Carry On Med,,"""And it's not because they're extraordinarily gifted, it's because they have healthy systems in place that yield healthy results.""  https://lttr.ai/CY3z  #medicine #Stress #student #workhardstudysmarter #premed pic.twitter.com/VnDu2CJEbm",[],['https://lttr.ai/CY3z'],['https://pbs.twimg.com/media/D6ysxOiXYAALTeB.jpg'],0,0,0,"['#medicine', '#stress', '#student', '#workhardstudysmarter', '#premed']",[],https://twitter.com/CarryOnMed/status/1129467569788862464,False,,0,,,,,,,"[{'user_id': '1120820433962463232', 'username': 'CarryOnMed'}]",
