,Unnamed: 0,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1515,1535,601115306409492482,1432152031000,2015-05-21,01:30:31,India Standard Time,25513793,oceanasoton,Oceana Southampton,,GUESTLIST IS NOW CLOSED 󾍑󾍑 #student #therapy,[],[],[],0,0,0,"['#student', '#therapy']",[],https://twitter.com/oceanasoton/status/601115306409492482,False,,0,,,,,,,"[{'user_id': '25513793', 'username': 'oceanasoton'}]",
1516,1536,601122123055247360,1432153657000,2015-05-21,01:57:37,India Standard Time,25513793,oceanasoton,Oceana Southampton,,£1 drinks in Bar Quarter till 11pm tonight #STUDENT #THERAPY,[],[],[],0,0,0,"['#student', '#therapy']",[],https://twitter.com/oceanasoton/status/601122123055247360,False,,0,,,,,,,"[{'user_id': '25513793', 'username': 'oceanasoton'}]",
1517,1537,601395314151596033,1432218790000,2015-05-21,20:03:10,India Standard Time,1286449190,adas_westessex,ADAS West Essex,,Uni #stress? here is how to support a #perfectionist #student  http://www.theguardian.com/education/2015/may/19/how-to-help-a-perfectionist-student …,[],['http://www.theguardian.com/education/2015/may/19/how-to-help-a-perfectionist-student'],[],0,0,0,"['#stress', '#perfectionist', '#student']",[],https://twitter.com/ADAS_WestEssex/status/601395314151596033,False,,0,,,,,,,"[{'user_id': '1286449190', 'username': 'ADAS_WestEssex'}]",
1518,1538,601726189812736000,1432297677000,2015-05-22,17:57:57,India Standard Time,235252176,dempeachy,Dem 🍑📷,,Wednesday night ☺ #student #therapy #oceana #drink #turquoise #instame #selfie  https://instagram.com/p/2-_QUejZjW/ ,[],['https://instagram.com/p/2-_QUejZjW/'],[],0,0,0,"['#student', '#therapy', '#oceana', '#drink', '#turquoise', '#instame', '#selfie']",[],https://twitter.com/DemPeachy/status/601726189812736000,False,,0,,,,,,,"[{'user_id': '235252176', 'username': 'DemPeachy'}]",
1519,1539,602748659051175936,1432541453000,2015-05-25,13:40:53,India Standard Time,2709813960,jmbicycles,JM Bicycles,,#Student? Got #exams? #Stressed? Regular #exercise during studying can improve #concentration and reduce #stress.  pic.twitter.com/oaLSANe8W2,[],[],['https://pbs.twimg.com/media/CF1ktfiWoAA4Jan.png'],0,0,2,"['#student', '#exams', '#stressed', '#exercise', '#concentration', '#stress']",[],https://twitter.com/jmbicycles/status/602748659051175936,False,,0,,,,,,,"[{'user_id': '2709813960', 'username': 'jmbicycles'}]",
1520,1540,603362730708434944,1432687859000,2015-05-27,06:20:59,India Standard Time,1944981966,listener_7cups,Listener,,Helping with exams #stress and making #student life manageable. Article from Univ of California San Diego  http://ow.ly/Nt8F0  #UCSD,[],['http://ow.ly/Nt8F0'],[],0,0,0,"['#stress', '#student', '#ucsd']",[],https://twitter.com/Listener_7Cups/status/603362730708434944,False,,0,,,,,,,"[{'user_id': '1944981966', 'username': 'Listener_7Cups'}]",
1521,1542,603363138176684032,1432687956000,2015-05-27,06:22:36,India Standard Time,2548430869,brandont_7cups,BrandonT_7cups,,RT 7_Cups_of_Tea - Helping with exams #stress and making #student life manageable. Article from Univ of California San Diego …,[],[],[],0,0,0,"['#stress', '#student']",[],https://twitter.com/BrandonT_7cups/status/603363138176684032,False,,0,,,,,,,"[{'user_id': '2548430869', 'username': 'BrandonT_7cups'}]",
1522,1543,603547886341771264,1432732004000,2015-05-27,18:36:44,India Standard Time,25513793,oceanasoton,Oceana Southampton,,£1 drinks 9-11pm tonight in Bar Quarter Southampton you know the drill #student #therapy #superclub 󾆴󾆴,[],[],[],0,2,2,"['#student', '#therapy', '#superclub']",[],https://twitter.com/oceanasoton/status/603547886341771264,False,,0,,,,,,,"[{'user_id': '25513793', 'username': 'oceanasoton'}]",
1523,1544,603608383795679233,1432746427000,2015-05-27,22:37:07,India Standard Time,487854787,nicolakluge,Nicola Kluge,,Could this be the answer to #student #stress?  http://buff.ly/1cYukpi  #meditation,[],['http://buff.ly/1cYukpi'],[],0,0,0,"['#student', '#stress', '#meditation']",[],https://twitter.com/NicolaKluge/status/603608383795679233,False,,0,,,,,,,"[{'user_id': '487854787', 'username': 'NicolaKluge'}]",
1524,1545,603959333181726720,1432830100000,2015-05-28,21:51:40,India Standard Time,217039686,drpetemarcelo,Dr Pete Marcelo IL,," https://lnkd.in/eWd4DJS  #anxiety #anxious #college #student #counseling #psychologist #drpetemarcelo #therapy #crystal lake, #carey, …",[],['https://lnkd.in/eWd4DJS'],[],0,0,2,"['#anxiety', '#anxious', '#college', '#student', '#counseling', '#psychologist', '#drpetemarcelo', '#therapy', '#crystal', '#carey']",[],https://twitter.com/DrPeteMarcelo/status/603959333181726720,False,,0,,,,,,,"[{'user_id': '217039686', 'username': 'DrPeteMarcelo'}]",
