,Unnamed: 0,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1818,1856,720716279447973888,1460667125000,2016-04-15,02:22:05,India Standard Time,246951711,kiusum,Kiu Sum,,Think I need this electical stimulator for my upciming #exams... How can I borrow this? #brain #revision #stress #student #HowToStayYoung,[],[],[],0,0,0,"['#exams', '#brain', '#revision', '#stress', '#student', '#howtostayyoung']",[],https://twitter.com/KiuSum/status/720716279447973888,False,,0,,,,,,,"[{'user_id': '246951711', 'username': 'KiuSum'}]",
1819,1857,720766517655257091,1460679103000,2016-04-15,05:41:43,India Standard Time,70633180,sneshka_richter,GreenHeart,,"Been there, done that...7 years of #agony! Loved the #students & lectures, not the #system! https://twitter.com/getintoteaching/status/695285731258806272 …",[],['https://twitter.com/getintoteaching/status/695285731258806272'],[],0,0,0,"['#agony', '#students', '#system']",[],https://twitter.com/Sneshka_Richter/status/720766517655257091,False,https://twitter.com/getintoteaching/status/695285731258806272,0,,,,,,,"[{'user_id': '70633180', 'username': 'Sneshka_Richter'}]",
1820,1858,721384921185546240,1460826542000,2016-04-16,22:39:02,India Standard Time,287286717,andrewtschramm,Andrew Schramm,,"Tips for #gradstudent on how to say ""no"" to maintain work-life balance  Just say no  http://www.apa.org/gradpsych/2013/11/say-no.aspx … via @APA #stress #student",['apa'],['http://www.apa.org/gradpsych/2013/11/say-no.aspx'],[],0,1,3,"['#gradstudent', '#stress', '#student']",[],https://twitter.com/andrewtschramm/status/721384921185546240,False,,0,,,,,,,"[{'user_id': '287286717', 'username': 'andrewtschramm'}, {'user_id': '493175789', 'username': 'APA'}]",
1821,1859,721394905759813633,1460828923000,2016-04-16,23:18:43,India Standard Time,484879420,e_clegg,Em Clegg,,Dissertation got me like... #sad #stress #cross #confused #tired #idontwanna #canitstop #student…  https://www.instagram.com/p/BERSSUToWNH/ ,[],['https://www.instagram.com/p/BERSSUToWNH/'],[],0,0,0,"['#sad', '#stress', '#cross', '#confused', '#tired', '#idontwanna', '#canitstop', '#student']",[],https://twitter.com/E_Clegg/status/721394905759813633,False,,0,,,,,,,"[{'user_id': '484879420', 'username': 'E_Clegg'}]",
1822,1860,721753117897990144,1460914327000,2016-04-17,23:02:07,India Standard Time,2753743832,law1gloria,Gloria Law,,"@mybusykids #Everyone #Children #Kids #Youth #Student #Worlds #Humans #Honestly, I purchase my #SelfHelp #Therapy books at Super Used Store",['mybusykids'],[],[],0,0,1,"['#everyone', '#children', '#kids', '#youth', '#student', '#worlds', '#humans', '#honestly', '#selfhelp', '#therapy']",[],https://twitter.com/Law1Gloria/status/721753117897990144,False,,0,,,,,,,"[{'user_id': '2753743832', 'username': 'Law1Gloria'}, {'user_id': '2924932429', 'username': 'mybusykids'}]",
1823,1861,722040819155243008,1460982920000,2016-04-18,18:05:20,India Standard Time,4725534012,krausetherapy,Jamie Krause AMF/APCC,,How to help students manage their mental health during exams #student #exams #stress #mentalhealth #support  http://www.theguardian.com/teacher-network/2016/apr/17/help-students-manage-mental-health-exams …,[],['http://www.theguardian.com/teacher-network/2016/apr/17/help-students-manage-mental-health-exams'],[],0,0,0,"['#student', '#exams', '#stress', '#mentalhealth', '#support']",[],https://twitter.com/KrauseTherapy/status/722040819155243008,False,,0,,,,,,,"[{'user_id': '4725534012', 'username': 'KrauseTherapy'}]",
1824,1862,722698986164002816,1461139840000,2016-04-20,13:40:40,India Standard Time,139707321,thegirlmorgo,Paula Carroll,,Some useful tips for managing #student #exam #stress #mentalhealth  http://www.theguardian.com/teacher-network/2016/apr/17/help-students-manage-mental-health-exams?platform=hootsuite …,[],['http://www.theguardian.com/teacher-network/2016/apr/17/help-students-manage-mental-health-exams?platform=hootsuite'],[],0,0,1,"['#student', '#exam', '#stress', '#mentalhealth']",[],https://twitter.com/Thegirlmorgo/status/722698986164002816,False,,0,,,,,,,"[{'user_id': '139707321', 'username': 'Thegirlmorgo'}]",
1825,1863,722773277265960965,1461157552000,2016-04-20,18:35:52,India Standard Time,532178322,drevlan83,The Raging Beard #BB,,so bloody stressed....my stress is stressed about being stressed. #stress #gamedev #uni #student,[],[],[],0,1,4,"['#stress', '#gamedev', '#uni', '#student']",[],https://twitter.com/Drevlan83/status/722773277265960965,False,,0,,,,,,,"[{'user_id': '532178322', 'username': 'Drevlan83'}]",
1826,1864,722774692520701952,1461157889000,2016-04-20,18:41:29,India Standard Time,58614365,aiming4succezz,@Blazethablock,,What is life ? #school #loans #student #college #life #stress #real #facts #instalike #wtf  https://www.instagram.com/p/BEbFvbkJ-6g/ ,[],['https://www.instagram.com/p/BEbFvbkJ-6g/'],[],0,0,1,"['#school', '#loans', '#student', '#college', '#life', '#stress', '#real', '#facts', '#instalike', '#wtf']",[],https://twitter.com/Aiming4Succezz/status/722774692520701952,False,,0,,,,,,,"[{'user_id': '58614365', 'username': 'Aiming4Succezz'}]",
1827,1865,723872780870144000,1461419694000,2016-04-23,19:24:54,India Standard Time,711529311845617664,onlinenesss,Onlineness,,#trip #happy #lonely #Asian boy #student by khant.nyi  pic.twitter.com/rXpJ1Wf6GJ,[],[],['https://pbs.twimg.com/media/Cgu2dXEW4AEEKrI.jpg'],0,0,0,"['#trip', '#happy', '#lonely', '#asian', '#student']",[],https://twitter.com/onlinenesss/status/723872780870144000,False,,0,,,,,,,"[{'user_id': '711529311845617664', 'username': 'onlinenesss'}]",
1828,1866,724922921890795520,1461670067000,2016-04-26,16:57:47,India Standard Time,331838239,terrytessadams,terry 'tess' adams,,When its been a month & your lecturer still hasn't marked your test. And you have  more tests coming #university #student #finalyear #stress,[],[],[],0,0,0,"['#university', '#student', '#finalyear', '#stress']",[],https://twitter.com/Terrytessadams/status/724922921890795520,False,,0,,,,,,,"[{'user_id': '331838239', 'username': 'Terrytessadams'}]",
1829,1867,724953471959576576,1461677351000,2016-04-26,18:59:11,India Standard Time,4436714293,thecaringtimes_,The Caring Times,,This picture pretty much sums up nursing school #tiredaf #rn #student #nursingschool #nursing #stress #isitsummerye… pic.twitter.com/bcgaTWO2C4,[],[],['https://pbs.twimg.com/media/Cg-NV2XW4AESmpM.jpg'],0,0,0,"['#tiredaf', '#rn', '#student', '#nursingschool', '#nursing', '#stress', '#isitsummerye']",[],https://twitter.com/TheCaringTimes_/status/724953471959576576,False,,0,,,,,,,"[{'user_id': '4436714293', 'username': 'TheCaringTimes_'}]",
1830,1868,725602340217192449,1461832053000,2016-04-28,13:57:33,India Standard Time,4913988309,gemmaelse_nyr,Gemma Else NYR,,I'll definitely be looking at these! #stress #student #exams https://twitter.com/mindcharity/status/725581621869568000 …,[],['https://twitter.com/mindcharity/status/725581621869568000'],[],0,0,1,"['#stress', '#student', '#exams']",[],https://twitter.com/gemmaelse_NYR/status/725602340217192449,False,https://twitter.com/MindCharity/status/725581621869568000,0,,,,,,,"[{'user_id': '4913988309', 'username': 'gemmaelse_NYR'}]",
1831,1869,725614613769887744,1461834979000,2016-04-28,14:46:19,India Standard Time,711529311845617664,onlinenesss,Onlineness,,#girl #hot #sexy #blackwhite #sadomaso #jewellery #student #lonely #psycho #yanea #polishgirl #armeniangirl #goodgi… pic.twitter.com/6ASnJqQg1E,[],[],['https://pbs.twimg.com/media/ChHmpYOWgAAuTRK.jpg'],0,0,0,"['#girl', '#hot', '#sexy', '#blackwhite', '#sadomaso', '#jewellery', '#student', '#lonely', '#psycho', '#yanea', '#polishgirl', '#armeniangirl', '#goodgi']",[],https://twitter.com/onlinenesss/status/725614613769887744,False,,0,,,,,,,"[{'user_id': '711529311845617664', 'username': 'onlinenesss'}]",
1832,1870,725680935518216192,1461850792000,2016-04-28,19:09:52,India Standard Time,2557129981,nottsfreshers,NOTTINGHAM 2019-2020 #NTU #UoN,,#chill #toomuch #chilling #work #revise #uni #university #ntu #UoN #student #life #stress…  https://www.instagram.com/p/BEvvWMDOISd/ ,[],['https://www.instagram.com/p/BEvvWMDOISd/'],[],0,0,0,"['#chill', '#toomuch', '#chilling', '#work', '#revise', '#uni', '#university', '#ntu', '#uon', '#student', '#life', '#stress']",[],https://twitter.com/NottsFreshers/status/725680935518216192,False,,0,,,,,,,"[{'user_id': '2557129981', 'username': 'NottsFreshers'}]",
