,Unnamed: 0,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
2020,2084,803657916439937024,1480441953000,2016-11-29,23:22:33,India Standard Time,2838714338,drhelenhsu,Dr. Helen H. Hsu,,Addressing #student #stress in @USDFremont https://twitter.com/fuss4schools/status/799641525873324036 …,['usdfremont'],['https://twitter.com/fuss4schools/status/799641525873324036'],[],0,0,1,"['#student', '#stress']",[],https://twitter.com/DrHelenHsu/status/803657916439937024,False,https://twitter.com/fuss4schools/status/799641525873324036,0,,,,,,,"[{'user_id': '2838714338', 'username': 'DrHelenHsu'}, {'user_id': '2648816784', 'username': 'USDFremont'}]",
2021,2087,804290631489048576,1480592804000,2016-12-01,17:16:44,India Standard Time,779576763449905156,cessjae1702,Princess Mendoza,,Feeling Crazy 😜 #FaceSwap #crazy #me #beingme #fangirl #stress #collegegirl #student  pic.twitter.com/OAhXUMoJUf,[],[],['https://pbs.twimg.com/media/CylqA9tVEAApHgb.jpg'],0,0,0,"['#faceswap', '#crazy', '#me', '#beingme', '#fangirl', '#stress', '#collegegirl', '#student']",[],https://twitter.com/cessjae1702/status/804290631489048576,False,,0,,,,,,,"[{'user_id': '779576763449905156', 'username': 'cessjae1702'}]",
2022,2088,804300440808681472,1480595142000,2016-12-01,17:55:42,India Standard Time,2294196240,camperformance,CAP,,What Joy from Cambridge University TEDx team said about our #Stress management training for #Student #Performance pic.twitter.com/vyDRY06Ba9,[],[],['https://pbs.twimg.com/media/Cyly_MGW8AUYjsH.jpg'],0,0,0,"['#stress', '#student', '#performance']",[],https://twitter.com/CamPerformance/status/804300440808681472,False,,0,,,,,,,"[{'user_id': '2294196240', 'username': 'CamPerformance'}]",
2023,2089,804437501154881537,1480627820000,2016-12-02,03:00:20,India Standard Time,2294196240,camperformance,CAP,,Talking to Suzie Thorpe @cambridge105 11.30 tomorrow about #student #stress management. Check out our blog on  http://ow.ly/RaNr306ISBF ,['cambridge105'],['http://ow.ly/RaNr306ISBF'],[],0,0,0,"['#student', '#stress']",[],https://twitter.com/CamPerformance/status/804437501154881537,False,,0,,,,,,,"[{'user_id': '2294196240', 'username': 'CamPerformance'}, {'user_id': '95086990', 'username': 'cambridge105'}]",
2024,2090,804646291406016517,1480677600000,2016-12-02,16:50:00,India Standard Time,80120091,drdegordon,DrDEGordon,,Why Understanding #Student #Trauma is More Important Than #Teaching ‘Grit’  http://www.theatlantic.com/education/archive/2015/12/when-grit-isnt-enough/418269/?utm_source=twb … #Mindfulness,[],['http://www.theatlantic.com/education/archive/2015/12/when-grit-isnt-enough/418269/?utm_source=twb'],[],0,0,0,"['#student', '#trauma', '#teaching', '#mindfulness']",[],https://twitter.com/DrDEGordon/status/804646291406016517,False,,0,,,,,,,"[{'user_id': '80120091', 'username': 'DrDEGordon'}]",
2025,2091,804653793409437696,1480679388000,2016-12-02,17:19:48,India Standard Time,2294196240,camperformance,CAP,,Really enjoyed talking to Suzie @cambridge105 just now. Thank you for asking great questions on a difficult topic - #student #stress.,['cambridge105'],[],[],0,2,2,"['#student', '#stress']",[],https://twitter.com/CamPerformance/status/804653793409437696,False,,0,,,,,,,"[{'user_id': '2294196240', 'username': 'CamPerformance'}, {'user_id': '95086990', 'username': 'cambridge105'}]",
2026,2092,804712468870266880,1480693378000,2016-12-02,21:12:58,India Standard Time,1852105392,studentmindsysj,Student Minds YSJ,,#calm #yoga #mindfulness #serene #stress #free #peace #love #student #mental #health ✌🏼❤️ pic.twitter.com/spdjAYC7jY,[],[],['https://pbs.twimg.com/media/CyrptwuWIAIpuQq.jpg'],0,1,0,"['#calm', '#yoga', '#mindfulness', '#serene', '#stress', '#free', '#peace', '#love', '#student', '#mental', '#health']",[],https://twitter.com/StudentMindsYSJ/status/804712468870266880,False,,0,,,,,,,"[{'user_id': '1852105392', 'username': 'StudentMindsYSJ'}]",
2027,2093,804837565912190976,1480723203000,2016-12-03,05:30:03,India Standard Time,771088269899624448,kaplantestprep,Kaplan Test Prep,,Did you know power naps can help you become more productive? Here are 10 ways to relieve #stress as a #student.   http://spr.ly/60108Jqd6  pic.twitter.com/bFusdCor1Y,[],['http://spr.ly/60108Jqd6'],['https://pbs.twimg.com/media/CytbgCMUsAAvkW7.jpg'],0,0,0,"['#stress', '#student']",[],https://twitter.com/kaplantestprep/status/804837565912190976,False,,0,,,,,,,"[{'user_id': '771088269899624448', 'username': 'kaplantestprep'}]",
2028,2094,805349545962049537,1480845269000,2016-12-04,15:24:29,India Standard Time,635225474,stephwilkie94,stephanie wilkie,,Exams are looming #researchmethods #exams #unilife #student #studentlife #stress #anxiety @…  https://www.instagram.com/p/BNl0b4Kj9pO/ ,[],['https://www.instagram.com/p/BNl0b4Kj9pO/'],[],0,0,0,"['#researchmethods', '#exams', '#unilife', '#student', '#studentlife', '#stress', '#anxiety']",[],https://twitter.com/stephwilkie94/status/805349545962049537,False,,0,,,,,,,"[{'user_id': '635225474', 'username': 'stephwilkie94'}]",
2029,2095,805909532547416064,1480978780000,2016-12-06,04:29:40,India Standard Time,731572201225371649,counsellorscafe,The Counsellors Café,,Roll up! Roll up! The rollercoaster begins! |  http://www.thecounsellorscafe.co.uk/single-post/2016/12/01/Roll-up-Roll-up-The-rollercoaster-begins … | #traineecounsellor #student #therapy #fear #uncertainty pic.twitter.com/3CSF24FUVS,[],['http://www.thecounsellorscafe.co.uk/single-post/2016/12/01/Roll-up-Roll-up-The-rollercoaster-begins'],['https://pbs.twimg.com/media/Cy8qcfCXAAAgUwa.jpg'],0,3,2,"['#traineecounsellor', '#student', '#therapy', '#fear', '#uncertainty']",[],https://twitter.com/CounsellorsCafe/status/805909532547416064,False,,0,,,,,,,"[{'user_id': '731572201225371649', 'username': 'CounsellorsCafe'}]",
